tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -4 4
tmp, a, b: -4 -4 28
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 2 -4 -2
tmp, a, b: 4 -4 -4
tmp, a, b: 4 4 28
tmp, a, b: -5 4 5
tmp, a, b: -5 4 5
tmp, a, b: -5 4 5
tmp, a, b: -5 4 5
